LON,LAT,PGA-DD1,PGA-DD2,PGA-DD3,PGA-DD4,Ss-DD1,Ss-DD2,Ss-DD3,Ss-DD4,S1-DD1,S1-DD2,S1-DD3,S1-DD4,PGV-DD4,PGV-DD3,PGV-DD2,PGV-DD1
28.65,35.65,0.759,0.444,0.206,0.155,1.749,0.996,0.439,0.331,0.5,0.276,0.114,0.084,4.958,6.43,14.536,26.224
28.65,35.75,0.73,0.43,0.202,0.153,1.686,0.96,0.433,0.329,0.48,0.267,0.113,0.084,5.236,6.741,15.162,27.433
28.65,35.85,0.726,0.426,0.201,0.153,1.677,0.951,0.434,0.331,0.476,0.266,0.114,0.085,5.474,7.224,16.078,28.868
28.65,35.95,0.758,0.438,0.207,0.157,1.754,0.989,0.449,0.343,0.499,0.276,0.117,0.087,5.834,7.86,17.802,31.532
28.65,36.05,0.862,0.491,0.223,0.168,2.035,1.131,0.494,0.374,0.574,0.305,0.125,0.092,6.491,9.012,21.958,40.494
28.65,36.15,0.981,0.568,0.246,0.181,2.356,1.319,0.56,0.407,0.632,0.337,0.135,0.098,7.423,10.717,28.317,53.167
28.65,36.25,1.017,0.6,0.26,0.188,2.485,1.425,0.592,0.42,0.662,0.359,0.141,0.101,7.883,11.842,32.075,58.471
28.65,36.35,1.145,0.67,0.275,0.192,2.843,1.607,0.619,0.427,0.739,0.4,0.147,0.103,8.216,12.925,38.139,67.788
28.65,36.45,1.175,0.681,0.278,0.189,2.917,1.626,0.626,0.424,0.758,0.402,0.148,0.102,8.283,13.349,41.515,73.963
28.65,36.55,1.153,0.658,0.258,0.18,2.86,1.576,0.591,0.41,0.753,0.391,0.14,0.097,8.011,12.417,37.859,70.04
28.65,36.65,1.02,0.577,0.233,0.168,2.494,1.36,0.537,0.385,0.655,0.337,0.127,0.091,7.525,11.061,31.715,60.405
28.65,36.75,0.868,0.486,0.208,0.154,2.107,1.144,0.468,0.346,0.55,0.288,0.115,0.085,6.649,9.453,25.03,47.7
28.65,36.85,0.741,0.411,0.18,0.138,1.779,0.958,0.412,0.31,0.473,0.251,0.106,0.079,5.714,7.858,19.132,35.379
28.65,36.95,0.725,0.394,0.166,0.125,1.732,0.911,0.378,0.288,0.453,0.238,0.101,0.076,5.111,6.836,16.042,29.124
28.65,37.05,0.71,0.381,0.156,0.117,1.697,0.88,0.353,0.266,0.435,0.227,0.095,0.073,4.766,6.375,14.967,26.941
28.65,37.15,0.633,0.338,0.145,0.109,1.514,0.788,0.324,0.245,0.398,0.21,0.089,0.068,4.797,6.369,14.822,26.591
28.65,37.25,0.618,0.334,0.141,0.107,1.466,0.776,0.317,0.237,0.364,0.198,0.086,0.065,5.12,6.753,15.708,28.468
28.65,37.35,0.593,0.322,0.136,0.104,1.407,0.75,0.309,0.231,0.346,0.19,0.084,0.064,5.286,6.89,15.845,28.733
28.65,37.45,0.59,0.318,0.134,0.103,1.409,0.744,0.307,0.229,0.348,0.19,0.083,0.063,5.408,7.075,16.276,30.098
28.65,37.55,0.62,0.333,0.141,0.106,1.512,0.791,0.322,0.241,0.375,0.2,0.086,0.065,5.692,7.56,17.795,33.804
28.65,37.65,0.708,0.378,0.156,0.116,1.746,0.905,0.362,0.271,0.436,0.221,0.091,0.069,6.242,8.334,20.815,41.387
28.65,37.75,0.782,0.425,0.175,0.13,1.956,1.039,0.416,0.306,0.48,0.246,0.1,0.075,7.085,9.503,23.88,45.923
28.65,37.85,0.921,0.508,0.202,0.146,2.365,1.254,0.471,0.337,0.568,0.294,0.11,0.079,7.79,10.923,29.395,54.706
28.65,37.95,1.049,0.567,0.206,0.147,2.63,1.372,0.482,0.34,0.707,0.341,0.113,0.08,7.918,11.297,34.681,67.055
28.65,38.05,0.771,0.429,0.179,0.133,1.952,1.062,0.428,0.312,0.496,0.26,0.104,0.076,7.518,10.303,25.378,46.769
28.65,38.15,0.739,0.405,0.166,0.121,1.861,0.993,0.398,0.29,0.492,0.25,0.099,0.073,7.05,9.593,24.317,46.31
28.65,38.25,0.943,0.493,0.17,0.118,2.378,1.201,0.403,0.281,0.654,0.305,0.1,0.072,6.844,9.776,31.211,62.366
28.65,38.35,0.985,0.52,0.168,0.114,2.5,1.258,0.397,0.267,0.639,0.31,0.098,0.069,6.607,9.671,32.015,61.263
28.65,38.45,0.738,0.399,0.149,0.105,1.876,0.972,0.347,0.243,0.479,0.239,0.088,0.065,6.143,8.568,23.942,46.081
28.65,38.55,0.596,0.318,0.127,0.093,1.487,0.775,0.301,0.219,0.371,0.192,0.08,0.06,5.692,7.608,18.375,35.578
28.65,38.65,0.5,0.274,0.115,0.086,1.233,0.658,0.272,0.205,0.305,0.169,0.076,0.058,5.401,6.966,15.678,28.679
28.65,38.75,0.475,0.262,0.112,0.084,1.164,0.628,0.265,0.202,0.287,0.162,0.075,0.057,5.323,6.776,14.978,26.705
28.65,38.85,0.493,0.275,0.118,0.088,1.205,0.656,0.28,0.21,0.295,0.166,0.076,0.058,5.43,6.995,15.46,27.796
28.65,38.95,0.572,0.316,0.133,0.1,1.398,0.758,0.312,0.23,0.34,0.183,0.08,0.06,5.744,7.613,17.546,32.806
28.65,39.05,0.722,0.402,0.159,0.114,1.778,0.953,0.37,0.267,0.433,0.222,0.088,0.065,6.308,8.598,22.27,42.392
28.65,39.15,1.019,0.526,0.176,0.123,2.476,1.232,0.411,0.289,0.649,0.292,0.095,0.068,6.676,9.419,30.664,63.485
28.65,39.25,0.786,0.433,0.17,0.121,1.939,1.038,0.4,0.287,0.471,0.239,0.092,0.068,6.665,9.159,24.205,46.18
28.65,39.35,0.692,0.377,0.154,0.112,1.705,0.899,0.357,0.261,0.407,0.21,0.087,0.065,6.286,8.43,20.716,39.908
28.65,39.45,0.652,0.342,0.137,0.101,1.601,0.819,0.319,0.233,0.394,0.199,0.084,0.063,5.897,7.877,19.27,38.601
28.65,39.55,0.619,0.322,0.127,0.093,1.517,0.769,0.298,0.217,0.379,0.193,0.082,0.061,5.707,7.609,18.412,37.06
28.65,39.65,0.592,0.309,0.123,0.09,1.44,0.733,0.289,0.211,0.363,0.189,0.081,0.061,5.639,7.514,17.817,35.305
28.65,39.75,0.577,0.305,0.123,0.089,1.405,0.725,0.288,0.21,0.36,0.19,0.082,0.061,5.676,7.604,17.846,34.68
28.65,39.85,0.589,0.321,0.128,0.091,1.454,0.773,0.298,0.213,0.377,0.204,0.085,0.063,5.821,7.952,19.205,35.996
28.65,39.95,0.792,0.416,0.142,0.097,1.941,0.987,0.327,0.223,0.496,0.249,0.092,0.065,6.083,8.695,24.97,48.57
28.65,40.05,0.891,0.483,0.153,0.102,2.223,1.155,0.353,0.233,0.559,0.286,0.098,0.067,6.286,9.342,29.342,54.743
28.65,40.15,0.969,0.495,0.153,0.103,2.365,1.168,0.352,0.235,0.607,0.291,0.098,0.068,6.33,9.3,30.127,60.597
28.65,40.25,0.714,0.393,0.149,0.104,1.758,0.932,0.343,0.238,0.453,0.24,0.096,0.068,6.374,9.039,23.244,43.625
28.65,40.35,0.737,0.381,0.148,0.105,1.782,0.901,0.339,0.24,0.469,0.239,0.096,0.069,6.433,8.959,22.922,45.702
28.65,40.45,0.66,0.355,0.148,0.107,1.612,0.847,0.341,0.245,0.434,0.234,0.099,0.071,6.598,9.102,21.938,41.109
28.65,40.55,0.649,0.359,0.157,0.113,1.594,0.864,0.366,0.265,0.453,0.246,0.105,0.075,7.086,9.772,22.881,42.233
28.65,40.65,0.737,0.422,0.184,0.131,1.829,1.028,0.432,0.305,0.533,0.289,0.116,0.08,7.878,11.258,27.121,49.437
